INSERT
aaronic 亚伦的
actinomycete 放射菌类
actinomycin 放射菌素
actinomycosis 放射菌病
actionable 可控告的
activated 有活性的
activating 使活动
activize 激起
actress 女演员
actuator 激励者
aculeus 刺螫刺
acupuncturist 针灸医生
acusection 电针割法
adae 手斧
adagiettos 慢板短曲
adamant 坚硬的
adams 亚当斯
adaptability 适应性
adapted 适合的
adaptive 适应的
adaxial 近轴的
adcolumn 广告栏
addible 可添加的
addictive 上瘾的
adding 加增加
additament 增加物
additionally 加之又
ade 果汁饮料
adela 阿德拉
adenectomy 腺切除术
adeni 亚丁的
adequately 充分地
adhesion 支持
adhibit 粘贴
adjacency 邻接
adjectival 形容词的
adjective 形容词
adjustability 适应性
adjustable 可调整的
adjusted 调整过的
adjutage 喷射管
adjutancy 副官职
adjutantship 副官职位
adlittoral 浅水的
admissive 容许的
admonition 警告
admonitory 劝告的
adoptability 采纳性
adopter 养父母
adorably 崇拜
adorn 装饰
adrate 附加税
adrip 湿淋淋的
adsorbability 吸附力
adsorbable 能吸附的
adsorbate 被吸附物
adsorption 吸附
adsorptive 吸附的
adsum 到有
adulatory 奉承的
adulteress 奸妇
adulthood 成人期
adumbration 预兆
adust 烧焦的
advancer 前进者
advantageous 有利的
advection 水平对流
adventurer 冒险家
adventuresome 冒险性的
adventurously 爱冒险地
adverb 副词
adverbially 当副词地
advisability 明智
advisably 明智地
adynamic 衰弱的
aeolipile 汽转球
aeonian 永久的
aeration 通风
aerator 通风装置
aerodone 滑翔机
aerography 气象学
aerolite 陨石
aerolith 陨石
aerolitics 陨石学
aeromap 航空地图
aeromechanics 航空力学
aeromedicine 航空医学
aeromodelling 航模
aeronautic 航空的
aeronautical 航空学的
aeronef 飞机
aerophore 呼吸面具
aerophyte 附生植物
aeroplane 飞机
aeroplanist 飞行家
aerosiderite 陨铁
aerosiderolite 陨铁石
aerospace 航空宇宙
aerosphere 大气层
aerostat 航空器
aerotherapeutics 空气疗法
aerothermoacoustics 气热声学
aerotrack 飞机场
aerotransport 运输机
aerotropic 向气性的
aesopian 伊索的
aesthetician 审美学家
aestheticism 唯美主义
aesthetism 唯美主义
aestival 夏季的
afar 遥远地
afebrile 无热的
affably 殷勤地
affectively 情感地
affectlessness 冷酷无情
afferent 传入的
afferently 传入地
affiche 公告
affirmable 可断言的
affirmatively 肯定地
afforce 加强阵容
afforcement 加强阵容
afford 提供
afforest 造林于
affreight 租船运货
affreighter 租船运货
affreightment 租船货运
affuse 灌注
affusion 注水
afghanistani 阿富汗人
aforenamed 上举的
afreet 恶魔
africa 非洲
africander 南非牛
africanization 非洲化
africanize 使非洲化
aft 在船尾
afterbrain 后脑
aftergrowth 再生植物
afterhours 业余的
aftermentioned 后述的
aftershock 余震
afterwar 战后的
afterwit 事后聪明
afterword 编后记
agatha 阿加莎
agazed 受惊吓的
agendum 议程
agenesis 发育不全
agential 代理商的
aggiornamento 现代化
agglomerative 会凝聚的
agglutinogenic 可粘结的
aggradation 沉积
aggradational 沉积的
aggro 暴力行为
agha =aga
agilely 敏捷地
agitative 煽动性的
agitator 煽动者
aglossal 无舌的
agonist 收缩筋
agraffe 搭扣
agrarianize 重新分配
agress 攻击
agressire 攻击的
agrostology 草本学
agued 害疟疾的
aha 啊哈
aiguillette 肩带
aileen 艾琳
aileron 副翼
ailurophilia 爱猫癖
aimer 瞄准手
airbag 安全气袋
airboat 汽船
aircraft 航行器
airfare 飞机票价
airfield 飞机场
airfight 空战
airflow 气流
airframe 机身
airfreighter 运货飞机
airlike 似空气的
airline 定期航线
airmail 航空邮件
airpark 小飞机场
airplane 飞机
airscrew 螺旋桨
airsickness 晕机
airslake 风化
airspeed 空速
airstrip 飞机跑道
airways 航空公司
airworthiness 耐飞性
ajutage 喷射管
alabandite 硫锰矿
alan 艾伦
alarmism 危言耸听
alary 翼状的
alas 唉
albeit 虽然
albumenize 涂蛋白于
alcazar 城堡
alchemic 炼金术的
alchemist 炼金术士
alcohol 酒精酒
alcoholicity 酒精含量
alcoholism 酒精中毒
alcula 钩爪
alembic 蒸馏器
alfine 到头了
algal 海藻的
algebra 代数学
algebraist 代数学家
algebrist 代数学家
algetic 痛的
algologist 藻类学家
algology 藻类学
algometry 痛觉计
algous 藻类的
alibility 有营养
alible 有营养的
alienable 可让与的
alienate 疏远
alienee 受让人
alienor 让渡人
alimentation 营养
alimentotherapy 食物疗法
alkalinization 碱化
alkekengi 冬季樱
alkyne [化]炔
allan 艾伦
allegedly 依其申述
allegory 寓言
alleviant 缓和剂
alleviation 缓和
alleviator 减轻者
alliteration 头韵
allium 葱属植物
allness 全部
allochroic 变色的
allodiality 自由地
allodially 自由地
allotheism 异神崇拜
allotment 分配
allseed 多子植物
allure 吸引
alluring 迷人的
almightiness 全能
almighty 全能的
almsgiver 施舍者
alogical 非逻辑的
alors 那末
aloud 大声地
alpeen 粗头短棍
alpenhorn 山笛
alphabet 字母表
alphametic 字母算术
alpheus 河神之名
alptop 膝上型的
already 已经
also 也同样
alter 改变
alterant 改变的
alternating 交互的
altimeter 高度计
altiplano 高原
altissimo 最高的
altocumulus 高积云
altostratus 高层云
alum 明矾矾
aluminothermy 铝冶术
aluminum [化]铝
alutaceous 似皮革的
alveolitis 齿槽炎
amaze 使吃惊
ambary 洋麻
ambassador 大使
ambeer 烟草汁
amberfish [鱼]鰤
amberjack 琥珀鱼
amberoid 合成琥珀
ambidexterity 怀二心
ambilateral 双方面的
ambit 范围
ambiversion 中向性格
amblyopia 弱视
ambulant 走动的
ambulate 走动
ameliorable 可改善的
ameliorant 改良物
amendable 可修正的
amentia 智力缺陷
amerciable 应罚款的
amerenglish 美国英语
americanese 美国英语
americanisation 美国化
americanization 美国化
americanize 使美国化
ametabolic 不变形的
amicably 友善地
amice 披肩
amiga 女性朋友
amigo 朋友
aminate 氨化
amine [化]胺
ammeter 电表
ammocete 鳃鳗幼体
ammonium [化]铵
amnesia 健忘症
amniotin 一种春药
amole 皂用植物
amoretto 小爱神
amorism 谈情说爱
amortise 摊还
amortisement 摊还
amortize 分期清偿
amortizement 摊还
amotivational 缺乏动机
amperage 安培数
ampere 安培
amperehour 安培时
amphiarthrosis 丛和关节
amphibious 两栖的
amphictyony 近邻同盟
amphioxus 文昌鱼
amphiphyte 两栖植物
amphoteric 两性的
amplectant 攀附的
amplification 扩大
amplificatory 放大的
amplitudinous 极充足的
ampulla 圣瓶
ampullaceous 瓶状的
amputation 切断手术
amuck 疯狂地
amulet 护身符
amusing 有趣的
amygdule 杏仁孔
amylolysis 淀粉分解
amylopsin 胰淀粉酶
amylum 淀粉
amyotonia 肌弛缓
amyotrophia 肌萎缩
anabas 攀鲈
anabranch 支流
anachronism 时代错误
anaesthesiologist 麻醉学者
anaesthetics 麻醉学
anaesthetise 使麻醉
anaesthetist 麻醉师
anagenesis 进化
anagrammatism 字谜游戏
analogism 类比推理
analyser 分析者
analyzing 分析
ananas 菠萝
anandrous 无雄蕊的
ananym 倒名
anaplasty 整形术
anba 神父
anchithere 化石马
anchoress 女隐士
anchovy 凤尾鱼
ancipital 剑形的
ancress 女隐士
andaman 安达曼人
andersen 安徒生
andesite 安山石
andirons 铁制柴架
androecium 雄蕊
android 机器人
andrology 男科学
androphagous 吃人的
anecdotage 逸事集
anecdotical 轶事的
anelasticity 滞弹性
anemology 测风学
anemometry 风力测定
anemophily 风媒传粉
anemoscope 风速仪
anent 关于
anesthesiologist 麻醉学者
anesthesiology 麻醉学
anesthetist 麻醉师
aneuploid 非整倍的
aneurism 动脉瘤
aneurysm 动脉瘤
anew 重新再
angelet 小天使
angelica 当归
angelically 天使般地
angelologic 天使学的
angelological 天使学的
angelology 天使学
angelophany 天使显现
angiosperm 被子植物
angled 成角的
anglepod 角荚植物
angler 钓鱼者
anglistics 英语学
anglo 英国人
anglophobe 反英者
angrily 愤怒地
anguilliform 鳗状的
angular 有角的
anhinga 美洲蛇鸟
anhydride 酐
anhydrous 无水的
aniconism 无偶像论
anigh 靠近
anility 老态龙钟
animal 动物
animalcule 微生物
animalize 使动物化
anime 芳香树脂
anion 阴离子
anisette 茴香酒
ankle [解]踝
ankyloglossia 舌黏连
anlace 双刃短剑
anna 安娜
annal 记录
annalistic 编年史的
annam 安南
annealing 退火
annexation 合并
anniversary 周年纪念
annoit 涂油
annotator 注解者
announceable 可宣布的
announcing 宣布
annuities 养老金
annularly 环状地
annulation 环状物
annuli 轮环形
annulose 有环的
annulus 环面
annum 年岁
anonymous 匿名的
anorthic 三斜的
anourous 无尾的
anta 壁端柱
antarctica 南极洲
antares 心大星
antebrachium 前臂
antechamber 接待室
antehall 前厅
antelope 羚羊
antelucan 黎明前的
antemarital 婚前的
antemeridian 上午的
antemortem 临死前的
antenna 天线
antennal 触角的
antennate 具触角的
antennule 小触角
antenuptial 结婚前的
anteporch 外门廊
anteport 外门
anteprandial 饭前的
anteprohibition 禁令前的
antetype 原型
antewar 战争前的
anthelion 幻日
anther 花粉囊
antheral 花药的
anthography 花谱
anthologize 编选集
anthophagy 食花
anthracite 无烟煤
anthrop 人类学
anthropolatry 人类崇拜
anthropologic 人类学的
anthropology 人类学
anthroponym 姓氏姓
anthropophagous 食人的
anthropophagy 食人
anthroposophy 人智说
antiaircraft 防空的
antianxity 抗焦虑的
antiauxin 抗生长素
antiballistic 反弹道的
antibilious 治胆病的
antibiosis 抗生
antiblack 反黑人的
antibody 抗体
anticaries 防龋的
anticipative 预期的
anticline 背斜
anticompetitive 反竞争的
anticorrosive 防蚀的
anticyclonic 反气旋的
antidotal 解毒的
antidraft 反征兵
antifeudal 反封建的
antiforeign 排外的
antigropelos 防水绑腿
antihelix 对耳轮
antihuman 反人类的
antilope 羚羊
antimacassar 椅子罩子
antimagnetic 防磁的
antimatter 反物质
antimechanized 反装甲的
antimissile 反导弹的
antimonsoon 反季节风
antimony [化]锑
antineutron 反中性子
antinode (波)腹
antinoise 抗噪音的
antinomy 自相矛盾
antinucleon 反核子
antiozonant 抗臭氧剂
antiparallel 反平行的
antipasto 开胃食物
antipatriotic 反爱国的
antipersonnel 杀伤的
antiphonary 轮流吟唱
antiphrasis 反用法
antiproton 反质子
antipsychotic 安定药
antiquated 陈旧的
antiresonance 反共振
antiserum 抗血清
antiskid 防滑装置
antispeculation 反投机的
antisymmetric 反对称的
antitheism 无神论
antitheist 无神论者
antithesis 对立面
antitoxic 抗毒素的
antitoxin 抗毒素
antivirus 抗病毒液
antonomasia 换称
antonym 反义词
antonymy 反义词组
anuresis 无尿
anus 肛门
anxiolytic 抗焦虑药
anyone 任何一个
anyplace 任何地方
anything 任何事
anywhere 无论何处
anywise 无论如何
anzam 澳新马
anzuk 澳新英
aorta 大动脉
aortic 大动脉的
apanage 属地
apatite 磷灰石
apepsia 不消化
aperiodically 不定期地
aperiodicity 不定期
aperitif 开胃酒
apetalous 无花瓣的
apex 顶点
aphasia 失语症
aphasiology 失语症学
apheliotropic 背光性的
aphemia 失语症
aphemic 失语症的
aphis 蚜虫
aphlogistic 无火焰的
aphorist 警句家
aphrodisia 性欲炽盛
apian 蜜蜂的
apiarist 养蜂家
apiculture 养蜂
apiculus 小尖端
apiology 蜜蜂学
aplite 半花岗岩
apocarpy 离心皮
apodia 无足
apodosis 归结子句
apogean 远地点的
apogee 远地点
apogeotropism 负地性
apograph 誊本
apoise 准备好的
apolaustic 放纵的
apologized 道歉
apologizer 辩护者
aposematic 警戒色的
apostolic 使徒的
apotropaion 避邪物
appal 惊骇
apparente 明显的
apparently 显然地
appealable 可上诉的
appeasement 缓和
appeaser 劝解人
appellor 上诉人
appendicle 小附属物
appertain 属于
applausively 喝采地
applecart 苹果车
applewood 苹果木
apportion 分配
apposite 适当的
appositely 适切地
appositional 同位格的
appraise 评价
apprehend 领会理解
apprehensibility 能理解
apprehensively 担心地
apprise 通知
appropriate 适当的
appropriately 适当地
approvable 可核准的
approving 满意的
appurtenances 附属物
apricot 杏杏树
apyrous 不易燃的
aquaculture 水产业
aquiclude 含水土层
aquicolous 水生的
aquosity 潮湿
arabic 阿拉伯的
arabization 阿拉伯化
aralia [植]
aramaic 亚拉姆语
arbitrable 可裁决的
arbitral 仲裁的
arbitrate 作出公断
arbitress 女仲裁人
arborescent 树木状的
arborization 树枝状
arborize 使分叉
archaean 太古代的
archaeologist 考古学家
archaeology 考古学
archducal 大公爵的
archduke 大公
archeological 考古学的
archeologist 考古学家
archeology 考古学
archery 箭术
archetypal 原型的
archetype 原型
archibald 高射炮
archiepiscopal 大主教的
archimedes 阿基米德
architect 建筑师
architecturally 建筑上
archpriest 主牧师
arcograph 圆弧规
arctoid 熊状的
arcuate 弓形的
arenic 竞技场的
arenose 多沙的
argentate 银色的
argenteous 银灰色的
argentite 辉银矿
argentum [化]银
argilliferous 生黏土的
argol 粗酒石
argon [化]氩
argumentatively 激辩地
argyria 银中毒
argyrol 含银液
ariel 羚羊类
arietta 小抒情曲
arigato 谢谢
aright 正确地
arista 刺芒
aristocrat 贵族
arith 数学
arithmetically 算术上
arithmetician 算术家
arithmetization 算术化
arithmometer 计数器
arithograph 运算图
armada 舰队
armadillo 犰狳
armband 臂章
armchair 扶手椅子
armer 武装者
armful 一抱之量
armguard 护手
armhole 袖孔
armillary 手镯的
armlock 锁臂勾腿
armoire 大型衣橱
armonica 玻璃口琴
armor 装甲
armorist 纹章专家
armpit 腋窝
armyman 军人
aromatic 芬芳的
arpeggio 琶音
arquebusier 火绳枪兵
arranging 安排
arrayal 排列
arrear 欠款
arrestee 被捕者
arrhizal 没有根的
arrhythmic 无节奏的
arriero 赶骡人
arris 棱
arrogate 冒称
arrowy 笔直
arsenotherapy 砷剂医疗
arsonist 纵火犯人
arterial 动脉的
arterialization 动脉血化
arteriolar 小动脉的
arteriole 细动脉
arteriosclerosis 动脉硬化
arteritis 动脉炎
arthral 关节的
arthritic 关节炎的
arthritis 关节炎
arthrology 关节学
arthromere 体节
arthromeric 体节的
arthropathy 关节病
arthrospore 分节孢子
arthurian 亚瑟王的
articular 关节的
articulation 清晰度
artifact 人造物品
artifice 技巧
artificialize 使人工化
artificially 人工
artiste 技艺家
artless 朴实的
arts 文科
arundinaceous 芦苇的
arvo 下午
arytenoidal 杓状的
asbestiform 石棉状的
asbestoid 似石棉的
asbestoidal 似石棉的
asbestus 石棉
ascariasis 蛔虫病
ascensionist 上升者
ascham 阿斯克姆
ascot 宽领带
ascription 归属
asgard 仙宫
ashake 摇动的
ashlaring 镶墙石板
ashpan 炉火盘
ashtray 烟灰缸
asia 亚洲
asininity 愚钝
askance 斜斜视
aslant 倾斜地
aslope 成斜坡的
asonant 无声音的
aspectant 面对面的
aspergillum 洒水器
aspermous 无种子的
asperse 诽谤
aspersory 洒水器
asphalt 沥青
asphaltic 柏油的
asphaltite 沥青岩
asphyxiation 窒息
aspic 肉冻
aspirate 吸气
aspish 似毒蛇的
aspishly 似毒蛇地
assai 甚极
assailant 攻击者
assassination 暗杀
assembler 汇编程序
assemblyman 议员
assemblywoman 女议员
assertedly 据说
assets 资产
assify 愚弄
assimilability 可同化性
assimilable 可同化的
assimilate 吸收
assistor 帮助者
assizes 巡回审判
assonant 类韵的
assort 分类配全
assortment 分类
assuetude 习惯
assumable 可假定的
assurable 可保证的
astarboard 向右舵
astatki 重油燃料
asteraceous 紫菀科的
asterisk 星号
asteroidal 星状的
asthenia 衰弱
asthenosphere 岩流圈
astigmatometry 散光度计
astigmometer 散光度计
astigmometry 散光度计
astonish 使惊讶
astonishing 可惊异的
astonishment 惊讶
astrachan 俄国羔皮
astraddle 跨着
astral 星形的
astrand 搁浅地
astrict 束缚
astride 跨着
astringer 驯鹰师
astrolatry 天体崇拜
astrologer 占星家
astromancer 星卜术
astromancy 星卜术
astromantic 星卜术的
astronavigation 太空航行
astronomer 天文学家
astronomically 天文学上
astronomy 天文学
astropologist 人类学家
astrospace 宇宙空间
asymmetry 不对称
asymptomatic 无症状的
asymptomatically 无症状地
atacamite 绿盐铜矿
atelic 未完成的
atheism 无神论
atheist 无神论者
athirst 渴望的
athletic 运动的
athletics 运动
athwartship 横过船的
atmology 水蒸气学
atmolysis 分气
atmospheric 大气的
atom 原子
atomicity 原子数
atomics 原子学
atomistic 原子论的
atonable 可补偿的
atonal 无调的
atonality 无调性
atone 弥补
atrip 起锚
atroceruleous 藏青色的
atrophic 萎缩的
atrous 深黑的
attached 附加的
attacker 攻击者
attainment 达到
attendant 服务员
attenuable 能稀释的
attenuate 削弱
attest 证明
attestation 证明
attila 匈奴王
attire 服装
attitudinize 装腔作势
attractability 吸引性
attractableness 可被吸引
attribution 归因
atypical 非典型的
auctorial 作者的
audible 听得见的
audibly 可听见地
audiometer 听度计
audiometrist 听力测定
audiotape 录音磁带
audiotyping 录音打字
audiovisuals 视听教具
audiphone 助听器
auditing 审核
auger 螺丝钻
augmentation 增加
aulic 宫廷的
aural 听觉的
aurelia 蛹水母
auricle 外耳
auricular 耳的
auriform 耳状的
aurinasal 耳鼻的
auris <拉>耳
auriscopically 耳镜地
aurochs 欧洲野牛
aurum [化]金
austenite [冶]体
australis 南极光
autarky 自给自足
authentic 可信的
authenticate 鉴别
authoress 女作家
authorial 著者的
authorize 批准
autobiographer 自传作者
autobiography 自传
autocollimation 自准直仪
autoconditioning 自动调整
autocorrect 自动更正
autocrat 独裁者
autocycle 摩托车
autodial 自动拨号
autodrome 赛车跑道
autoeciously 寄生地
autoeciousness 寄生
autoecism 单主寄生
autoff 自动跳页
autofill 自动填充
autofilter 自动筛选
autogenous 自生的
autogiro 旋翼飞机
autographical 亲笔的
autographically 亲笔地
autogyro 旋翼飞机
autoharp 自鸣筝
autohypnosis 自我催眠
autoincrement 自动增量
autoinfection 自体传染
autointoxicant 自体毒物
autointoxication 自体中毒
autokinetic 自动的
autolatry 自我崇拜
autoloading 半自动的
autolysate 自溶产物
autolysis 自我分解
automark 自动标记
automaticity 自动性
automatization 自动化
automatize 使自动化
automechanism 自动装置
autonomous 自治的
autonomy 自治
autoregulation 自动调整
autotoxicosis 自体中毒
autotoxin 自体毒素
autotoxis 自体中毒
autotruck 运货卡车
autoxidation 自然氧化
auxochrome 助色团
availablein 有效范围
availably 有效地
avaunt 滚走开
avenger 复仇者
averment 断言
avert 转移
aviate 飞行
aviatress 女飞行家
avicide 杀害鸟类
avid 渴望的
avion 军用飞机
avirulence 无毒性
avitrice 女飞行家
avoidable 可避免的
avouch 确保
avow 承认
avowal 声明
avowedly 公然地
await 等候
aweary 疲倦的
aweigh 离开海底
aweto 冬虫夏草
awny 有芒的
axhammer 斧槌
axil 叶腋
axinite 斧石
axiologist 价值论者
axiology 价值论
axiomatic 自明的
axiomatize 使公理化
axisymmetric 轴对称的
axisymmetrical 轴对称的
axite 轴索终丝
axolotl 蝾螈
axstone 斧石
azimuthal 方位角的
azote 氮
azotic 氮的
azov 亚述海
azurite 蓝铜矿
azygous 非对偶的
baas 老板
babbittry 市侩作风
babelism 混乱
babesia 巴贝西虫
baboo 先生
baboosh 拖鞋
baby 婴孩
bacca 浆果
bacchii 短长长格
bacciferous 结浆果的
bacciform 浆果状的
baccy 烟草
bachelordom 单身
bachelorette 未婚女子
bacillicide 杀杆菌剂
backache 背痛
backdate 回溯
backdoor 秘密的
backer 支持者
backfire 逆火
backkward 向后地
backlighting 逆光
backmost 最后面的
backout 拆除
backrest 靠背
backscratcher 长柄扒
backstair 间接的
backwards 向后
bacteremia 菌血症
bacteremic 菌血症的
bacteremically 菌血症地
bacterial 细菌的
bactericidal 杀菌的
bactericide 杀菌剂
bacteriform 细菌状的
bacteriologist 细菌学家
bacteriology 细菌学
bacteriolysin 溶菌素
bacteriophage 抗菌素
bacteriotherapy 细菌疗法
bacterium 细菌
badlands 荒地
badminton 羽毛球
badmintoon 羽毛球
badness 恶劣状态
baffleplate 障板
baffler 调节墙
bagasse 甘蔗渣
bagdad 巴格达
bagful 满口袋
bagpipe 风笛
bagwig 袋装假发
bagworm 结草虫
bah 呸!
bahadur 阁下
baikal 贝加尔湖
bailie 市政官
bailor 寄托人
bairn 小孩
bakemeat 肉饼
bakery 面包店
balanceable 平衡的
balancer 权衡者
balanoid 橡实形的
balata 树胶
balconied 有阳台的
baldly 坦率地
baldpate 秃头的人
baleen 鲸须
bali 巴厘岛
balladeer 民谣歌手
balladry 民谣
ballerina 芭蕾舞女
ballerine 芭蕾舞女
balletomane 芭蕾舞迷
ballistician 弹道学家
ballon 轻快优雅
balloon 气球
balloonfish 河豚
ballotage 决选投票
ballplayer 棒球手
ballpoint 圆珠笔
ballroomology 交际舞术
balneation 入浴
balneology 浴疗学
balneotherapy 浴疗法
balsam 香液
balsamiferous 生香油的
balsamine 凤仙花
balustrade 栏杆
bamboo 竹子
banana 香蕉
banc 法官席
banco 审判官席
bandage 绷带
bandanna 大手帕
bandbox 硬纸盒
bandeau 细带
bandit 强盗
bandolero 剪径强盗
bandore 三弦琴
bandsaw 用带锯锯
bangalore 炸药桶
bangbang 枪战影片
bankbook 银行存折
banker 银行家
banking 银行业
banknote 钞票
bankruptcy 破产
banlieue 郊区
bannock 一种薄饼
banns 结婚预告
banquet 宴会
bantam 矮脚鸡
bantering 嘲弄的
banting 减肥疗法
baptismal 洗礼的
barback 军营
barbara 芭芭拉
barbarization 野蛮化
barbate 有须的
barbette 炮座
bard 吟游诗人
barebacked 无鞍的
bareboat 空船的
barefoot 赤脚的
barf 呕吐
bariatrics 肥胖病学
barilla 苏打灰
barite 重晶石
baritone 男中音
barium 钡
barley 大麦
barleycorn 大麦粒
barm 酵母
barodynamics 重量力学
barometer 气压计
barometric 大气压力
barometrical 气压计的
baronet 从男爵
barotolerance 耐高压性
barranco 深峡谷
barratry 诉讼教唆
barrelhead 桶盖
barret 无边帽
barroom 酒吧间
barroque 巴洛克式
barrow 手推车
barterer 交易商
barytes 重晶石
barytic 重土的
basaltic 玄武岩的
bascule 活动结构
baseless 无根据的
baseset 基本集
bashful 害羞的
bashlyk 头巾
basidiomycete 担子菌类
basilic 重要的
basket 篮一篮
basketwork 编织物
bassing 钓鲈鱼
basswood 椴木
bastard 私生子
bateau 小舟
bateleur 短尾鹰
bathrobe 浴衣
bathsheba 所罗门王
bathybic 深海底的
batleship 战舰
batrachoid 似蛙的
batt 棉絮
batta 战时津贴
battercake 煎饼
batteries 电池
battledore 羽毛球拍
battlefront 前线
battleground 战场
battlemented 有城垛的
battleplane 战斗机
battleship 战舰
battlewagon 战舰
bauble 小玩意
baudekin 一种织锦
baulk 阻碍
bawcock 好汉
bawdily 淫秽地
bawdyhouse 妓院
bayadere 舞妓
bayonet 刺刀
baywreath 月桂冠
bazar 市场
beach 海滩
beacher 浪涛
beachscape 海滨景色
beak 鸟嘴喙
beakiron 砧砧子
beaky 像鸟嘴的
beanpod 豆荚
beanstalk 豆茎
bearably 忍得住地
bearbaiter 逗熊者
beard 胡须
bearward 饲熊者
beatage 颓废派的
beater 搅拌器
beatism 披头主义
beatlemania 披头士狂
beaty 摇摆的
beaucoup 非常多的
beautician 美容师
beautification 美化
beautifier 美化者
beautify 美化
beaverboard 纤维板
becalmed 平静的
became 变得
bechamel 调味酱
becility 聪明
bedash 浇淋
bedbug 臭虫
bedck 装饰
beddo 电子床
bedew 沾湿
bedgown 睡衣
bedight 装饰
bedim 模糊
bedin 示威游行
bedlamp 床头灯
bedpost 床柱
bedquilt 棉被
bedraggle 拖脏
bedrail 床栏杆
bedrench 使湿透
bedroll 铺盖卷
bedroom 卧室
bedsheet 床单
bedsore 褥疮
bedstead 床架
bedstone 下磨石
bedtick 褥套
bedtiime 就寝时间
bedtime 就寝时间
beebee =BB
beebread 蜜蜂食料
beechwood 山毛榉材
beef 牛肉
beefsteak 牛排
beehouse 养蜂场
beekeeper 养蜂人
beekeeping 养蜂
beeline 直线
beemaster 养蜂家
beemistress 养蜂女
beer 啤酒
beerhouse 啤酒店
beetleheaded 笨的
beetroot 甜菜根
beezer 鼻子
befit 适合
beforehand 预先
befringe 饰以边
beggar 乞丐
beginner 初学者
beginning 开始
begnaw 咬啃
begohm 十亿欧姆
begrimed 污秽的
behalf 为利益
behavioral 动作的
behavioural 动作的
behoove 适宜
beingless 不存在的
beiruti 贝鲁特人
bejesus 老天
bejewel 饰以珠宝
beld 秃头的
beleague 围攻
beleaguer 围围攻
belee 置之下风
belfried 有钟楼的
belibel 谗诽谤
belie 掩饰
believable 可信的
believer 信徒
believing 有信仰的
bell 铃钟
bellbird 铃鸟
bellboy 侍者
belligerency 交战状态
bellows 风箱
bellwaver 徘徊不已
bellybutton 肚脐
bellyhold 腹舱
bellyworm 蛔虫
belong 属于住
belowground 地下的
belvedere 望景楼
bemaul 严重打伤
bemoan 哀叹
bemock 讥笑
bemud 使迷糊
bemuse 使发呆
bench 长椅子
bended 弯曲的
benediction 祝福
beneficiation 选矿
benevolent 慈善的
bengal 孟加拉
benison 祝福
benthic 深海底的
benzene [化]苯
benzoic 安息香的
benzoin 安息香胶
bepuzzle 使困惑
bepuzzlement 困惑
bereaved 丧失的
beret 贝雷帽
bergall 青鲈
bergamasque 贝加莫舞
berimbau 拨铃波琴
berliner 柏林市民
bern 伯尔尼
